slurm_no	sample_id	start_time	end_time	elapsed_time	status
8	S4-10ng_S9	Fri Feb 08 15:54:48 EST 2019	Fri Feb 08 15:55:30 EST 2019	00:00:42	successfully completed
18	S3-10ng_S20	Fri Feb 08 15:55:31 EST 2019	Fri Feb 08 15:55:33 EST 2019	00:00:01	successfully completed
16	S2-10ng_S19	Fri Feb 08 15:55:24 EST 2019	Fri Feb 08 15:55:40 EST 2019	00:00:15	successfully completed
19	S3-10ng_S20	Fri Feb 08 15:55:35 EST 2019	Fri Feb 08 15:55:49 EST 2019	00:00:14	successfully completed
20	S4-10ng_S21	Fri Feb 08 15:55:41 EST 2019	Fri Feb 08 15:55:50 EST 2019	00:00:08	successfully completed
22	S5-10ng_S22	Fri Feb 08 15:55:51 EST 2019	Fri Feb 08 15:55:53 EST 2019	00:00:01	successfully completed
15	S1-10ng_S18	Fri Feb 08 15:55:22 EST 2019	Fri Feb 08 15:55:54 EST 2019	00:00:32	successfully completed
24	blank_S23	Fri Feb 08 15:55:56 EST 2019	Fri Feb 08 15:55:56 EST 2019	00:00:00	successfully completed
25	blank_S24	Fri Feb 08 15:55:57 EST 2019	Fri Feb 08 15:55:57 EST 2019	00:00:00	successfully completed
26	blank_S24	Fri Feb 08 15:55:58 EST 2019	Fri Feb 08 15:55:58 EST 2019	00:00:00	successfully completed
23	S5-10ng_S22	Fri Feb 08 15:55:54 EST 2019	Fri Feb 08 15:56:08 EST 2019	00:00:14	successfully completed
21	S4-10ng_S21	Fri Feb 08 15:55:50 EST 2019	Fri Feb 08 15:56:30 EST 2019	00:00:39	successfully completed
17	S2-10ng_S19	Fri Feb 08 15:55:26 EST 2019	Fri Feb 08 15:56:36 EST 2019	00:01:10	successfully completed
