slurm_no	sample_id	start_time	end_time	elapsed_time	status
15	S1-10ng_S18_TRB			00:01:40	successfully completed
18	S3-10ng_S20_TRA			00:00:58	successfully completed
16	S2-10ng_S19_TRA			00:01:37	successfully completed
19	S3-10ng_S20_TRB			00:01:38	successfully completed
17	S2-10ng_S19_TRB			00:02:47	successfully completed
20	S4-10ng_S21_TRA			00:01:38	successfully completed
24	blank_S23_TRA			00:00:39	successfully completed
22	S5-10ng_S22_TRA			00:00:56	successfully completed
21	S4-10ng_S21_TRB			00:02:28	successfully completed
25	blank_S24_TRA			00:00:30	successfully completed
26	blank_S24_TRB			00:00:28	successfully completed
23	S5-10ng_S22_TRB			00:01:19	successfully completed
4	S2-10ng_S7	Fri Feb 08 15:40:19 EST 2019	Fri Feb 08 15:40:19 EST 2019	00:00:00	successfully completed
2	S1-10ng_S6	Fri Feb 08 15:40:19 EST 2019	Fri Feb 08 15:40:19 EST 2019	00:00:00	successfully completed
6	S3-10ng_S8	Fri Feb 08 15:40:20 EST 2019	Fri Feb 08 15:40:20 EST 2019	00:00:00	successfully completed
8	S4-10ng_S9	Fri Feb 08 15:40:20 EST 2019	Fri Feb 08 15:40:21 EST 2019	00:00:00	successfully completed
10	S5-10ng_S10	Fri Feb 08 15:40:22 EST 2019	Fri Feb 08 15:40:22 EST 2019	00:00:00	successfully completed
12	blank_S11	Fri Feb 08 15:40:22 EST 2019	Fri Feb 08 15:40:22 EST 2019	00:00:00	successfully completed
13	blank_S12	Fri Feb 08 15:40:23 EST 2019	Fri Feb 08 15:40:23 EST 2019	00:00:00	successfully completed
15	S1-10ng_S18	Fri Feb 08 15:40:23 EST 2019	Fri Feb 08 15:40:23 EST 2019	00:00:00	successfully completed
17	S2-10ng_S19	Fri Feb 08 15:40:24 EST 2019	Fri Feb 08 15:40:24 EST 2019	00:00:00	successfully completed
19	S3-10ng_S20	Fri Feb 08 15:40:24 EST 2019	Fri Feb 08 15:40:24 EST 2019	00:00:00	successfully completed
21	S4-10ng_S21	Fri Feb 08 15:40:25 EST 2019	Fri Feb 08 15:40:25 EST 2019	00:00:00	successfully completed
23	S5-10ng_S22	Fri Feb 08 15:40:25 EST 2019	Fri Feb 08 15:40:25 EST 2019	00:00:00	successfully completed
26	blank_S24	Fri Feb 08 15:40:26 EST 2019	Fri Feb 08 15:40:26 EST 2019	00:00:00	successfully completed
1	S1-10ng_S6_TRA			00:01:07	successfully completed
3	S2-10ng_S7_TRA			00:01:14	successfully completed
2	S1-10ng_S6_TRB			00:01:48	successfully completed
4	S2-10ng_S7_TRB			00:01:50	successfully completed
5	S3-10ng_S8_TRA			00:00:47	successfully completed
6	S3-10ng_S8_TRB			00:01:31	successfully completed
9	S5-10ng_S10_TRA			00:00:58	successfully completed
7	S4-10ng_S9_TRA			00:01:12	successfully completed
11	blank_S11_TRA			00:00:34	successfully completed
12	blank_S11_TRB			00:00:33	successfully completed
8	S4-10ng_S9_TRB			00:01:58	successfully completed
13	blank_S12_TRB			00:00:33	successfully completed
10	S5-10ng_S10_TRB			00:01:31	successfully completed
14	S1-10ng_S18_TRA			00:01:02	successfully completed
18	S3-10ng_S20_TRA			00:00:47	successfully completed
15	S1-10ng_S18_TRB			00:01:39	successfully completed
16	S2-10ng_S19_TRA			00:01:30	successfully completed
20	S4-10ng_S21_TRA			00:01:10	successfully completed
17	S2-10ng_S19_TRB			00:02:21	successfully completed
19	S3-10ng_S20_TRB			00:01:16	successfully completed
24	blank_S23_TRA			00:00:31	successfully completed
21	S4-10ng_S21_TRB			00:01:52	successfully completed
22	S5-10ng_S22_TRA			00:00:48	successfully completed
25	blank_S24_TRA			00:00:26	successfully completed
26	blank_S24_TRB			00:00:22	successfully completed
23	S5-10ng_S22_TRB			00:01:08	successfully completed
4	S2-10ng_S7	Fri Feb 08 15:54:22 EST 2019	Fri Feb 08 15:54:22 EST 2019	00:00:00	successfully completed
2	S1-10ng_S6	Fri Feb 08 15:54:22 EST 2019	Fri Feb 08 15:54:22 EST 2019	00:00:00	successfully completed
6	S3-10ng_S8	Fri Feb 08 15:54:23 EST 2019	Fri Feb 08 15:54:23 EST 2019	00:00:00	successfully completed
8	S4-10ng_S9	Fri Feb 08 15:54:24 EST 2019	Fri Feb 08 15:54:24 EST 2019	00:00:00	successfully completed
10	S5-10ng_S10	Fri Feb 08 15:54:25 EST 2019	Fri Feb 08 15:54:25 EST 2019	00:00:00	successfully completed
12	blank_S11	Fri Feb 08 15:54:25 EST 2019	Fri Feb 08 15:54:25 EST 2019	00:00:00	successfully completed
13	blank_S12	Fri Feb 08 15:54:26 EST 2019	Fri Feb 08 15:54:26 EST 2019	00:00:00	successfully completed
15	S1-10ng_S18	Fri Feb 08 15:54:26 EST 2019	Fri Feb 08 15:54:26 EST 2019	00:00:00	successfully completed
19	S3-10ng_S20	Fri Feb 08 15:54:27 EST 2019	Fri Feb 08 15:54:27 EST 2019	00:00:00	successfully completed
17	S2-10ng_S19	Fri Feb 08 15:54:27 EST 2019	Fri Feb 08 15:54:27 EST 2019	00:00:00	successfully completed
21	S4-10ng_S21	Fri Feb 08 15:54:28 EST 2019	Fri Feb 08 15:54:28 EST 2019	00:00:00	successfully completed
23	S5-10ng_S22	Fri Feb 08 15:54:28 EST 2019	Fri Feb 08 15:54:28 EST 2019	00:00:00	successfully completed
26	blank_S24	Fri Feb 08 15:54:29 EST 2019	Fri Feb 08 15:54:29 EST 2019	00:00:00	successfully completed
