slurm_no	sample_id	start_time	end_time	elapsed_time	status
6	blank_S11	Fri Feb 08 15:15:42 EST 2019	Fri Feb 08 15:15:42 EST 2019	00:00:00	successfully completed
2	S2-10ng_S7	Fri Feb 08 15:15:33 EST 2019	Fri Feb 08 15:15:42 EST 2019	00:00:09	successfully completed
7	blank_S12	Fri Feb 08 15:15:43 EST 2019	Fri Feb 08 15:15:43 EST 2019	00:00:00	successfully completed
5	S5-10ng_S10	Fri Feb 08 15:15:38 EST 2019	Fri Feb 08 15:15:44 EST 2019	00:00:05	successfully completed
10	S3-10ng_S20	Fri Feb 08 15:15:44 EST 2019	Fri Feb 08 15:15:48 EST 2019	00:00:03	successfully completed
8	S1-10ng_S18	Fri Feb 08 15:15:43 EST 2019	Fri Feb 08 15:15:48 EST 2019	00:00:05	successfully completed
13	blank_S23	Fri Feb 08 15:15:50 EST 2019	Fri Feb 08 15:15:50 EST 2019	00:00:00	successfully completed
14	blank_S24	Fri Feb 08 15:15:51 EST 2019	Fri Feb 08 15:15:51 EST 2019	00:00:00	successfully completed
12	S5-10ng_S22	Fri Feb 08 15:15:49 EST 2019	Fri Feb 08 15:15:54 EST 2019	00:00:05	successfully completed
11	S4-10ng_S21	Fri Feb 08 15:15:45 EST 2019	Fri Feb 08 15:15:56 EST 2019	00:00:11	successfully completed
9	S2-10ng_S19	Fri Feb 08 15:15:44 EST 2019	Fri Feb 08 15:15:57 EST 2019	00:00:13	successfully completed
3	S3-10ng_S8	Fri Feb 08 15:31:35 EST 2019	Fri Feb 08 15:31:39 EST 2019	00:00:04	successfully completed
1	S1-10ng_S6	Fri Feb 08 15:31:35 EST 2019	Fri Feb 08 15:31:42 EST 2019	00:00:07	successfully completed
4	S4-10ng_S9	Fri Feb 08 15:31:35 EST 2019	Fri Feb 08 15:31:43 EST 2019	00:00:07	successfully completed
6	blank_S11	Fri Feb 08 15:31:44 EST 2019	Fri Feb 08 15:31:44 EST 2019	00:00:00	successfully completed
2	S2-10ng_S7	Fri Feb 08 15:31:35 EST 2019	Fri Feb 08 15:31:44 EST 2019	00:00:08	successfully completed
7	blank_S12	Fri Feb 08 15:31:44 EST 2019	Fri Feb 08 15:31:44 EST 2019	00:00:00	successfully completed
5	S5-10ng_S10	Fri Feb 08 15:31:40 EST 2019	Fri Feb 08 15:31:45 EST 2019	00:00:05	successfully completed
10	S3-10ng_S20	Fri Feb 08 15:31:45 EST 2019	Fri Feb 08 15:31:49 EST 2019	00:00:03	successfully completed
8	S1-10ng_S18	Fri Feb 08 15:31:45 EST 2019	Fri Feb 08 15:31:49 EST 2019	00:00:04	successfully completed
13	blank_S23	Fri Feb 08 15:31:50 EST 2019	Fri Feb 08 15:31:50 EST 2019	00:00:00	successfully completed
14	blank_S24	Fri Feb 08 15:31:51 EST 2019	Fri Feb 08 15:31:51 EST 2019	00:00:00	successfully completed
12	S5-10ng_S22	Fri Feb 08 15:31:50 EST 2019	Fri Feb 08 15:31:53 EST 2019	00:00:03	successfully completed
11	S4-10ng_S21	Fri Feb 08 15:31:46 EST 2019	Fri Feb 08 15:31:55 EST 2019	00:00:08	successfully completed
9	S2-10ng_S19	Fri Feb 08 15:31:45 EST 2019	Fri Feb 08 15:31:56 EST 2019	00:00:10	successfully completed
3	S3-10ng_S8	Fri Feb 08 15:46:14 EST 2019	Fri Feb 08 15:46:17 EST 2019	00:00:03	successfully completed
1	S1-10ng_S6	Fri Feb 08 15:46:14 EST 2019	Fri Feb 08 15:46:21 EST 2019	00:00:06	successfully completed
4	S4-10ng_S9	Fri Feb 08 15:46:14 EST 2019	Fri Feb 08 15:46:22 EST 2019	00:00:07	successfully completed
6	blank_S11	Fri Feb 08 15:46:22 EST 2019	Fri Feb 08 15:46:22 EST 2019	00:00:00	successfully completed
2	S2-10ng_S7	Fri Feb 08 15:46:14 EST 2019	Fri Feb 08 15:46:22 EST 2019	00:00:08	successfully completed
7	blank_S12	Fri Feb 08 15:46:23 EST 2019	Fri Feb 08 15:46:23 EST 2019	00:00:00	successfully completed
5	S5-10ng_S10	Fri Feb 08 15:46:19 EST 2019	Fri Feb 08 15:46:23 EST 2019	00:00:04	successfully completed
10	S3-10ng_S20	Fri Feb 08 15:46:24 EST 2019	Fri Feb 08 15:46:27 EST 2019	00:00:02	successfully completed
8	S1-10ng_S18	Fri Feb 08 15:46:23 EST 2019	Fri Feb 08 15:46:28 EST 2019	00:00:04	successfully completed
13	blank_S23	Fri Feb 08 15:46:29 EST 2019	Fri Feb 08 15:46:29 EST 2019	00:00:00	successfully completed
14	blank_S24	Fri Feb 08 15:46:29 EST 2019	Fri Feb 08 15:46:29 EST 2019	00:00:00	successfully completed
12	S5-10ng_S22	Fri Feb 08 15:46:28 EST 2019	Fri Feb 08 15:46:31 EST 2019	00:00:03	successfully completed
11	S4-10ng_S21	Fri Feb 08 15:46:24 EST 2019	Fri Feb 08 15:46:33 EST 2019	00:00:08	successfully completed
9	S2-10ng_S19	Fri Feb 08 15:46:23 EST 2019	Fri Feb 08 15:46:34 EST 2019	00:00:10	successfully completed
